,Event Id,Restaurant Id,Restaurant Name,Photo URL,Event Title,Event Start Date,Event End Date
0,336644,18856789.0,AIR- An Ivory Region,,Dhol Bhangra Night,2019-04-10,2019-04-11
1,336889,18382360.0,Local,,Cocktail Wednesday,2019-04-10,2019-04-10
2,336888,18382360.0,Local,,Cocktail Wednesday,2019-04-10,2019-04-10
3,336890,18382360.0,Local,,Cocktail Wednesday,2019-04-10,2019-04-10
4,336894,18382360.0,Local,,Hip Hop Friday,2019-04-12,2019-04-12
5,336903,18382360.0,Local,,Urban Saturday,2019-04-13,2019-04-13
6,336622,18466951.0,Jungle Jamboree,,Special Navratras Thali at just @399 +Taxes at Jungle Jamboree,2019-04-08,2019-04-13
7,336251,18337893.0,The Luggage Room Kitchen And Bar,,Commercial Night,2019-04-10,2019-04-11
8,336248,18337893.0,The Luggage Room Kitchen And Bar,,Ladies Night,2019-04-11,2019-04-11
9,337096,18571735.0,Dum Laga Ke Haishaa,,Poila Baishak,2019-04-14,2019-04-15
10,337102,18571735.0,Dum Laga Ke Haishaa,,Poila Baishak Special,2019-04-14,2019-04-15
11,334818,18398880.0,JW Kitchen - JW Marriott Hotel Kolkata,,Poila Baishakh Buffet ,2019-04-15,2019-04-15
12,337247,18761167.0,Echoes Kolkata,,Celebrate Poila Boishak with Echoes,2019-04-15,2019-04-15
13,334920,18751849.0,Five Mad Men,,Ladies Night,2019-04-11,2019-04-11
14,334922,18751849.0,Five Mad Men,,Game of Thrones - Special Screening of season 8,2019-04-15,2019-04-15
15,336892,18392725.0,Tamasha,,Bombay Velvet,2019-04-11,2019-04-12
16,336898,18392725.0,Tamasha,,Zulfi Performing Live,2019-04-12,2019-04-13
17,336881,18566818.0,JLWA,,Juggy & Band Live,2019-04-10,2019-04-11
18,318235,48851.0,Rude Lounge,,Zumba Fitness with ZIN Mohsin & ZIN Varsha at Rude Powai,2019-04-20,2019-04-20
19,336620,18205932.0,The Cult - Peninsula Grand Hotel,,Glam & Glitz Bolly Molly Ladies Retro Night,2019-04-10,2019-04-11
20,336992,18205932.0,The Cult - Peninsula Grand Hotel,,MTV Swag Ladies Night ,2019-04-11,2019-04-12
21,337480,18205932.0,The Cult - Peninsula Grand Hotel,,Friday Night,2019-04-12,2019-04-13
22,337300,18205932.0,The Cult - Peninsula Grand Hotel,,Saturday Night,2019-04-13,2019-04-14
23,337023,18205932.0,The Cult - Peninsula Grand Hotel,,Sunday Night ,2019-04-14,2019-04-15
24,336281,18580259.0,Coffee Culture,,Ink-A-Laugh Presents Bearly Funny,2019-04-11,2019-04-11
25,336279,18580259.0,Coffee Culture,,"Stand Up Comedy @ Coffee Culture, Bandra On Every Thursday !",2019-04-18,2019-04-18
